fein	filing_date	stmt_of_purpose
840880886	2018-06-07	"THE FOUNDATION IS AN INTERNAL REVENUE CODE SECTION 501(C)(3) PUBLIC CHARITY THAT EXISTS TO SUPPORT THE EDUCATIONAL AND CHARITABLE PURPOSES OF THE KAPPA DELTA SORORITY, INCORPORATED (THE ""SORORITY"").  THE MISSION OF THE FOUNDATION IS TO SECURE FUNDS FOR THE EDUCATIONAL, LEADERSHIP AND CHARITABLE PURPOSES OF THE SORORITY."
841352870	2018-07-18	"MISSION AND GOALS      FUNDING PARTNERS FOR HOUSING SOLUTIONS  (FP'S) MISSION IS ""TO COORDINATE, ENHANCE AND LEVERAGE RESOURCES TO INCREASE THE INVENTORY AND RETENTION OF HOUSING AFFORDABLE TO LOW-INCOME HOUSEHOLDS.  GOALS INCLUDE:      1. DEVELOP NEW FUNDING SOURCES AND MECHANISMS TO FILL GAPS FOR AFFORDABLE HOUSING INITIATIVES.  2. LEVERAGE AND CHANNEL FUNDS TO AFFORDABLE HOUSING PROVIDERS AND CONSUMERS IN THE FORM OF LOW-COST,  EQUITY-LIKE  LOANS THAT MAKE PROJECTS FEASIBLE, WHILE PRESERVING SCARCE RESOURCES.  3. ENCOURAGE AFFORDABLE HOUSING CREATION AND RETENTION VIA THE PROVISION OF TECHNICAL ASSISTANCE.  4. FACILITATE THE DEVELOPMENT OF PARTNERSHIPS, WHICH OPTIMIZE AFFORDABLE HOUSING RESOURCES.    TO DATE, FUNDING PARTNERS HAS PROVIDED HOME OWNERSHIP OPPORTUNITIES FOR OVER 800 LOW-INCOME COLORADO FAMILIES THROUGH ITS DOWN PAYMENT ASSITANCE PROGRAM FOR FIRST-TIME HOME BUYERS, HOUSE TO HOMEOWNERSHIP (H2O).  IN ADDITION, FUNDING PARTNERS HAS HELPED TO PRESERVE OR CREATE OVER 1,200 UNITS OF AFFORDABLE RENTAL HOUSING THROUGH ITS MAMMEL AFFORDABLE HOUSING LOAN FUND (MAHLF)AS WELL AS 300 OWNERSHIP UNITS FOR LOW-INCOME FAMILIES AND INDIVIDUALS THROUGHOUT THE STATE OF COLORADO.    FUNDING PARTNERS HAS HELPED LOW-INCOME FAMILIES BEGIN TO BUILD PERSONAL WEALTH THROUGH HOMEOWNERSHIP.  THROUGH PARTNERSHIPS WITH BANKING INSTITUTIONS, FUNDING PARTNERS HAS ENCOURAGED THESE FAMILIES TO ESTABLISH SAVINGS ACCOUNTS AND TO PRACTICE LONG-TERM GOAL ACHIEVEMENT THROUGH SAVING FOR THE EVENTUAL PAYOFF OF THE TOTALLY DEFERRED DOWN PAYMENT LOAN.    FUNDING PARTNERS IS A COMMUNITY DEVELOPMENT FINANCIAL INSTITUTE (CDFI).  THIS IS A DESIGNATION GIVEN BY THE DEPARTMENT OF TREASURER TO FIDUCIARIALLY RESPONSIBLE ORGANIZATIONS.  THROUGH THIS DESIGNATION, FUNDING PARTNERS DEVELOPS AND BUILDS RELATIONSHIPS WITH THE PRIVATE BANKING COMMUNITY TO DEVELOP VIBRANT COMMUNITITES THROUGHOUT THE STATE OF COLORADO."
134263816	2018-08-08	THE EATING DISORDER FOUNDATION IS AN EFFECTIVE RESOURCE IN THE PREVENTION AND ELIMINATION OF EATING DISORDERS THROUGH EDUCATION, SUPPORT AND ADVOCACY.  WE OFFER EDUCATIONAL AND RESOURCE INFORMATION TO THOUSANDS OF PEOPLE LOCALLY, NATIONALLY AND INTERNATIONALLY WHO FACE THE DIFFICULT WORLD OF EATING DISORDERS.  THE FOUNDATION IS ALSO A WELCOMING, NON-CLINICAL DROP IN SUPPORT CENTER THAT PROVIDES SUPPORT SERVICES TO PEOPLE STRUGGLING, THEIR FRIENDS AND FAMILY AND THE COMMUNITY AT LARGE. WE PROVIDE AFFORDABLE, ACCESSIBLE AND LONG TERM SUPPORT THAT ENCOURAGES SUSTAINED EATING DISORDER RECOVERY.
452975610	2018-08-29	SUPPORT AND FACILITATE ADULT AND YOUTH TENNIS EDUCATION AND RECREATION IN THE NEDERLAND-AREA COMMUNITY OF COLORADO.
846049811	2017-11-14	THE UNIVERSITY OF COLORADO FOUNDATION WAS CREATED IN 1967 TO PROMOTE THE GENERAL WELFARE, DEVELOPMENT, GROWTH AND WELL-BEING OF THE UNIVERSITY OF COLORADO.  THE FOUNDATION IS EXEMPT FROM FEDERAL INCOME TAXES UNDER SECTION 501(A) OF THE INTERNAL REVENUE CODE BY VIRTUE OF BEING AN ORGANIZATION DESCRIBED IN SECTION 501(C)(3) OF THE CODE.  THE FOUNDATION RECEIVES AND MANAGES PRIVATE DONATIONS FOR THE BENEFIT OF THE UNIVERSITY'S ACADEMIC, RESEARCH AND OTHER PROGRAMS.
742496901	2017-11-16	THE LONGMONT CHORALE'S MISSION IS TO ENHANCE THE QUALITY OF LIFE OF CITIZENS OF LONGMONT AND NEIGHBORING COMMUNITIES THROUGH THE STUDY, CREATION, AND PERFORMANCE OF BEAUTIFUL CHORAL MUSIC.  THE LONGMONT CHORALE IS A UNIQUELY NON-SECULAR, NON-AUDITION CHORALE THAT ALLOWS SINGERS OF ALL ABILITIES AND AGES TO LEARN AND PERFORM HIGHLY DIVERSE AND ARTISTICALLY EXCELLENT CHORAL MUSIC. WE ENGAGE AUDIENCES IN A WIDE VARIETY OF COMMUNITY SETTINGS, PERFORMING REQUESTED GENRE AND ALSO EXPOSING OUR AUDIENCES TO NEW COMPOSERS AND MUSICAL SELECTIONS. WE SUPPORT THE ARTS IN OUR COMMUNITY THROUGH COLLABORATION WITH AREA MUSICIANS, PARTICIPATION IN COMMUNITY EVENTS, AND ENCOURAGEMENT OF VOCAL MUSIC EXPERIENCES FOR YOUTH.
203176396	2018-04-19	THE PURPOSE OF THE ADVOCACY CENTER FOUNDATION IS TO PROVIDE FINANCIAL AND OTHER SUPPORT FOR THE DENVER CHILDREN'S ADVOCACY CENTER, WHICH IS A COLORADO NONPROFIT CORPORATION THAT HAS ALREADY BEEN RECOGNIZED AS BEING TAX EXEMPT UNDER SECTION 501(C)(3) AND PROVIDES COUNSELING AND FORENSIC INTERVIEW SERVICES TO PHYSICALLY AND SEXUALLY ABUSED CHILDREN AND THEIR NON-OFFENDING FAMILY MEMBERS.  THE FOUNDATION SELLS USED CLOTHING AND OTHER ITEMS OF MERCHANDISE DONATED TO IT AND THEN DISTRIBUTES THE NET SALES PORCEEDS TO DCAC.
841549900	2018-04-17	THE FIRST PURPOSE OF OUR ORGANIZATION IS TO RESTORE HISTORICAL NARROW GAUGE RAILROAD EQUIPMENT (SPECIFICALLY LOCOMOTIVE D&RGW 315, FREIGHT AND WORK CARS, AND THE FULL SIZE MODEL LOCOMOTIVE EMMA SWEENY) AND TO BUILD A HISTORICAL RAILROAD PARK. THE SECOND PURPOSE IS TO EDUCATE THE PUBLIC ABOUT THE HISTORICAL EQUIPMENT AND THEIR IMPORTANCE TO THE DEVELOPMENT OF SOUTHWEST COLORADO. SPECIFICALLY, WE PRODUCE INTERPRETIVE SIGNS, POCKET BROCHURES, A WEBSITE, AND BOOKS, AND WE MAKE PRESENTATIONS TO THE PUBLIC. AN ACHIEVEMENT NOT MEASUREABLE IS THE INCREASED AWARENESS AND APPRECIATION OF THE PUBLIC CONCERNING THE EQUIPMENT AND THEIR HISTORICAL IMPORTANCE.
811100847	2018-03-01	AGRICULTURAL EDUCATION ORGANIZATION  CONDUCT SEMINARS WITH 40-50 ATTENDEES
460487046	2018-05-03	THE MEMORIAL HOSPITAL FOUNDATION IS A NON-PROFIT, 501(C)(3) ORGANIZATION.  OUR MISSION IS TO CULTIVATE RELATIONSHIPS AND PARTNERSHIPS WITHIN OUR COMMUNITY TO GENERATE FINANCIAL AND RELATED RESOURCES TO ENHANCE THE HOSPITAL'S CAPACITY TO PROVIDE QUALITY HEALTHCARE. TMH SERVES MOFFAT COUNTY , A POPULATION OF 13,750.  TMH HAS SERVED THE COMMUNITY'S HEALTHCARE NEEDS FOR 69 YEARS.
840967054	2018-02-21	TO PROVIDE FUNDS IN SUPPORT OF THE BAND PROGRAMS AT CENTAURUS HIGH SCHOOL, INCLUDING BUT NOT LIMITED TO, ENTRY FEES, TRANSPORTATION COSTS TO AND FROM COMPETITIONS, MUSIC AND INSTRUCTION, UNIFORM PURCHASING AND REPAIR, INSTRUMENT PURCHASING & REPAIR.  MONTHLY BAND BOOSTER MEETING MINUTES, COMMITMENT STATEMENTS REFLECTING BOTH PARTICIPATION AND MONETARY SUPPORT.  THE BAND PROGRAM SERVES AN AVERAGE OF 100 - 115 STUDENTS ATTENDING CENTAURUS HIGH SCHOOL, LAFAYETTE, CO (APPROX 10% OF STUDENT BODY).  THE BAND HAS COMPETED AGAINST LARGER SCHOOLS AND RECEIVED NUMEROUS AWARDS FOR SECTIONAL AND BAND PERFORMANCES, AS WELL AS THREE STATE CHAMPIONSHIPS (2012, 2013, 2014, 2015, 2016).  THE BAND PARTICIPATES IN LOCAL PARADES AND A MARCH-A-THON THROUGHOUT LAFAYETTE AND LOUISVILLE AS A FUNDRAISER AND COMMUNITY OUTREACH.
812022482	2018-02-23	REVEL IS A NONPROFIT ORGANIZATION THAT CREATES AN ENVIRONMENT THAT ALLOWS TEENS AND ADULTS WITH AUTISM AND THEIR PEERS OPPORTUNITIES TO CONNECT, WORK, LEARN, AND EXPLORE NEW INTERESTS.
800966974	2018-05-08	LADIES OF 5280 I S A NON-PROFIT ORGANIZATION FOUNDED IN DEC. 2013. WE ORGANIZE COMMUNITY EVENTS WHERE WE HELP GIVE BACK TO PEOPLE IN NEED, MOSTLY THE HOMELESS. WE HAVE FEED AND CLOTH OVER 1000 PEOPLE. WE EVEN DONATED TO MANY WOMEN'S SHELTERS IN THE AURORA, DENVER METRO AREA. WE PUT ON THESE COMMUNITY SERVICE EVENTS TO HELP ENCOURAGE MORE MINORITY WOMEN, MEN AND KIDS TO BE INVOLVED IN THE COMMUNITY. WE USE OUR OWN MONEY TO DONATE HYGIENE PRODUCTS LIKE TOOTH BRUSHES, SOAP, LOTION AND MORE TO OVER 1,000 PEOPLE. WE HOPE TO START RECEIVING GRANTS AND OTHER DONATIONS FROM LARGER BUSINESSES, SO WE CAN EXECUTE HELPING MORE PEOPLE. ONCE A MONTH WE DO THESE COMMUNITY EVENTS AND HELP MIN 200-300 PEOPLE AT A TIME. WE ALL HAVE FULL TIME JOBS IN OTHER FIELDS, BUT HOPE SOON WE CAN DO THIS WORK FULL TIME. WE HAVE PASSION AND DESIRES TO HELP PEOPLE IN NEED. PLEASE TAKE A LOOK AT MY FACEBOOK PAGE LADIES OF 5280 TO SEE MORE VIDEO/PHOTOS OF OUR PAST EVENTS.   EVEN THOUGH OUR TARGET MARKET IS AIMED TOWARDS WOMEN, WE STILL ENCOURAGE MEN AND CHILDREN TO BE INVOLVED IN OUR COMMUNITY EVENTS.
840774836	2018-08-10	LAND GRANTS. CONTINUE WORK ON A COMPREHENSIVE LAND USE MANAGEMENT PLAN PURSUANT TO THE US & COLORADO SUPREME COURT DECISION THAT RESTORED HISTORIC RIGHTS AND TO EDUCATE THE COMMUNITY ABOUT THE CARE OF A 77,500 ACRE PARCEL OF LAND, ORIGINALLY PART OF THE HISTORICAL SANGRE DE CRISTO LAND GRANT.  OVER 1,000 COLORADO RESIDENTS ARE INVOLVED IN THE RESTORATION OF THE RIGHTS.
841352258	2018-08-09	CARING HEARTS ADULT CARE IS A GROUP HOME FOR ELDERLY AND DISABLED ADULTS LOCATED IN AURORA.WE SERVE MOSTLY INDIGENT PATIENTS.WE HAVE TAKEN CARE OF MEDICAID PATIENTS SINCE 1997 AND CONTINUE   TO CARE FOR ELDERLY AND DISABLED ADULTS. W E DO NOT HAVE THE EXACT NUMBER OF PATIENTS THAT WE HAVE CARED FOR THROUGHOUT THE YEARS OF OPERATION BUT THERE HAVE BEEN MANY.WE PLAN TO CONTINUE TO   DO THIS. WE HAVE ALSO IMPLIMENTED A HEALTH OUTREACH PROGRAM FOR MINORITIES ON HEALTH PREVENTION,HIV,AIDS AND HEP C PREVENTION AND OFFER FREE INOFRMATION TO THE MINORITIES IN THE URBAN AREAS OF   COLORADO.BECUASE WE HAVE PASSED OUT INFORMATION TO THOUSANDS WE DO NOT HAVE AN EXACT NUMBER FOR THIS PROGRAM EITHER.
815269049	2017-02-16	ORGANIZE AND EXECUTE AN ANNUAL CELEBRATION FOR NATIONAL CANCER SURVIVORS DAY, OPEN AND FREE TO THE PUBLIC.  CONDUCT PERIODIC FUNDRAISERS FOR PURPOSES OF EXECUTING SAID CELEBRATION.  PRIOR EVENTS ATTRACTED 800-1000 PEOPLE.
846047978	2018-02-21	WE ARE THE PTA FOR PATTERSON INTERNATIONAL ELEMENTARY SCHOOL.  WE ARE HERE TO HELP PROVIDE FUNDS FOR THE SCHOOL THROUGH FUNDRAISING AND DONATIONS.
261410596	2018-05-16	PROJECT SANCTUARY IS A 501(C)(3) NON-PROFIT ORGANIZATION FOUNDED ON THE PRINCIPLE THAT THE WHOLE FAMILY SERVES, AND THE BEST WAY TO  SUPPORT THE TROOPS  IS BY SUPPORTING THE FAMILY. OUR MISSION IS SIMPLE:  TAKE OUR MILITARY FAMILIES FROM BATTLE-READY TO FAMILY-READY BY PROVIDING SIX-DAY, OUTDOOR, THERAPEUTIC RETREATS IN A HEALING ENVIRONMENT AND ONGOING FAMILY SUPPORT SERVICES FOR TWO YEARS FOLLOWING EACH RETREAT. WE GIVE OUR RETURNING HEROES TIME TO REUNITE AND BOND WITH THEIR FAMILIES, PROVIDING SERVICE MEMBERS/VETERANS AND THEIR FAMILY MEMBERS SUPPORT AND OPPORTUNITIES TO TAP INTO RESOURCES SO THAT THEIR LIVES CAN CONTINUE TOWARDS A POSITIVE AND PRODUCTIVE PATH.  WE ARE HELPING TO GIVE OUR MILITARY FAMILIES THE BEST CHANCE TO STAY INTACT AND TO BE HAPPY AND SELF-SUFFICIENT.  IN FY 2016, WE PROVIDED 25 RETREATS FOR 217 MILITARY FAMILIES (806 INDIVIDUALS) AND ARE ON TRACK TO PROVIDE 27 RETREATS IN 2017. TO DATE, 90% OF FAMILIES SERVED ARE STILL INTACT, AND OF THE 3,000+ INDIVIDUALS SERVED SINCE SEPTEMBER 2007, ONLY ONE HAS BEEN LOST TO SUICIDE (AT A TIME WHEN THE NATIONAL AVERAGE IS 22 VETERAN SUICIDES PER DAY).
841449882	2018-08-17	THE COLORADO CRIMINAL JUSTICE REFORM COALITION (CCJRC) IS A STATEWIDE NETWORK OF INDIVIDUALS, ORGANIZATIONS AND FAITH GROUPS. CCJRC'S MISSION IS TO END THE OVERUSE OF THE CRIMINAL JUSTICE SYSTEM AND ADVANCE COMMUNITY HEALTH AND SAFETY. OUR AREAS OF FOCUS INCLUDE:  (1) POLICY RESEARCH AND ADVOCACY; (2) COMMUNITY-BASED SERVICES FOR PEOPLE IMPACTED BY CRIME AND THE CRIMINAL JUSTICE SYSTEM; (3) CIVIC ENGAGEMENT; AND(4) IMPROVING HEALTHCARE ACCESS TO JUSTICE-INVOLVED PEOPLE. WE USE RESEARCH, ORGANIZING, COALITION BUILDING, LITIGATION, ADVOCACY, AND LEGISLATIVE ACTION AS STRATEGIES FOR SOCIAL CHANGE. CCJRC INCLUDES OVER A HUNDRED ORGANIZATIONS AND FAITH COMMUNITIES AND OVER 7,000 INDIVIDUAL MEMBERS THROUGHOUT THE STATE.
201959721	2017-11-14	THE FOUNDATION PROVIDES SCHOLARSHIPS FOR COLLEGE AND OTHER POST-SECONDARY VOCATIONAL EDUCATION AND TRAINING PROGRAMS FOR PARTICIPANTS AND FORMER PARTICIPANTS OF THE ROUTT COUNTY 4H PROGRAM. THE FOUNDATION GRANTS APPROXIMATELY 15 SCHOLARSHIPS PER YEAR TOTALING BETWEEN APPROXIMATELY $15,000 AND $30,000.
840644270	2017-11-03	WARREN VILLAGE IS THE NATION'S FIRST SUBSIDIZED TRANSFORMATIONAL HOUSING PROGRAM FOR SINGLE-PARENT FAMILIES AND IS RECOGNIZED AS A NATIONAL MODEL FOR SOCIAL CHANGE.  WARREN VILLAGE PROMOTES PERSONAL AND ECONOMIC SELF-SUFFICIENCY FOR LOW-INCOME, SINGLE-PARENT FAMILIES BY PROVIDING PROGRAMS IN TRANSITIONAL FAMILY SUPPORT SERVICES, AFFORDABLE HOUSING AND QUALITY CHILD CARE.  THE GRETA HORWITZ LEARNING CENTER OFFERS QUALITY CHILD CARE AND EARLY CHILDHOOD EDUCATION FOR CHILDREN AGES SIX WEEKS UNTIL AGE ELEVEN.  THE LEARNING CENTER USES A MULTI-CULTURAL AND GENDER-FAIR CURRICULUM DEVELOPED FOR AT-RISK CHILDREN.  THE FAMILY SERVICES PROGRAM PROVIDES COMPREHENSIVE CASE MANAGEMENT, VOCATIONAL ASSESSMENT, EVENING LIFE SKILLS CLASSES TAUGHT BY VOLUNTEERS ON TOPICS SUCH AS GOAL ACHIEVEMENT, PARENTING, BANKING AND BUDGETING.
841605623	2018-05-03	THE BUENA VISTA PREGNANCY CENTER PROVIDES FREE AND CONFIDENTIAL INFORMATION ON PREGNANCY ISSUES, FREE LIMITED ULTRASOUND, FREE LIMITED STI TESTING.  IN 2017 WE SERVED 108 DIFFERENT FAMILY UNITS, 613  CLIENT VISITS, 33 PREGNANCY TESTS, 14 STI TESTS, 26 ULTRASOUNDS, AND TAUGHT 202 CLASSES.
465168244	2018-07-31	TO EMPOWER FAMILIES TO ACHIEVE AND MAINTAIN WELLNESS, BY EMBRACING FAMILY-FOCUSED, STRENGTHS-BASED, COLLABORATIVE BEHAVIORAL HEALTH STRATEGIES OF THE HIGHEST CALIBER.
742431019	2018-08-17	TO OPERATE A COUNSELING, EDUCATIONAL, AND MINISTRY BASED OUTREACH PRIMARILY TO THE LOCAL COLORADO SPRINGS CHURCH COMMUNITY FOR INDIVIDUALS, COUPLES AND FAMILIES.
