id,taxyr,businessname1,businessname2,ein,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,activityormissiondesc,typeoforganizationcorpind,typeoforganizationtrustind,typeoforganizationassocind,typeoforganizationotherind,otherorganizationdsc,formationyr,legaldomicilestatecd,legaldomicilecountrycd
201400279349300890,2012,NORTHERN COLORADO UNISERV UNIT,,840616190,7,5,3,,TO ADVOCATE FOR PUBLIC EDUCATION AND EDUCATIONAL EMPLOYEES,t,f,f,f,,1986,CO,
201603209349312950,2015,SHINING STARS BASKETBALL INC,,208792293,3,2,0,12,"THE FOUNDATION OF SHINING STARS IS BUILT ON HARD WORK, POSITIVE ATTITUDES AND TEAM BASKETBALL. A COMMITMENT TO EXCELLENCE EMPOWERS THE INDIVIDUAL GROWTH OF ALL OUR PLAYERS, ON AND OFF THE COURT. CHARACTER BUILDING, LIFE LESSONS, FAMILY, AND EDUCATION ARE PART OF THE VALUES EMPHASIZED THROUGH THE PROGRAMS.",t,f,f,f,,2007,CO,
201741989349301314,2016,ID-RA-HA-JE SCHOLARSHIP FOUNDATION,,841036549,5,5,0,,TO FINANCIALLY ASSIST SUMMER STAFF TO ACHIEVE THEIR EDUCATIONAL GOALS.,t,f,f,f,,2001,CO,
201401439349300810,2012,ASPEN ART MUSEUM FOUNDATION,,841515243,10,10,0,0,THE ESTABLISHMENT AND MAINTENANCE OF AN ENDOWMENT FUND EXCLUSIVELY FOR THE USE OF THE ASPEN ART MUSEUM.,t,f,f,f,,1999,CO,
201723189349307902,2016,WEST RIDGE ACADEMY CHARTER SCHOOL,,273742918,5,5,47,5,"K-8 CHARTER SCHOOL WITH THE VISION TO PREPARE EACH STUDENT WITH AN EXEMPLARY EDUCATIONAL EXPERIENCE, ALLOWING EACH CHILD TO MEET HIS OR HER HIGHEST ACADEMIC AND CHARACTER POTENTIAL.",t,f,f,f,,2010,CO,
201810599349300541,2016,KESHET OF THE ROCKIES,,470883605,8,8,0,0,"PROVIDE EDUCATIONAL, SOCIAL, AND VOCATIONAL PROGRAMS TO JEWISH CHILDREN AND YOUNG ADULTS.",t,f,f,f,,2002,CO,
201511469349300036,2014,DAUGHTERS OF DESTINY INC,,432003078,10,8,3,890,"EQUIP, TRAIN, AND EMPOWER VOLUNTEERS TO REACH AND DISCIPLE INCARCERATED WOMEN FOR JESUS WHILE IN PRISON AND AFTER RELEASE.",t,f,f,f,,2003,CO,
201310579349300606,2012,RUSSIAN CHRISTIAN RADIO INC,,841203598,7,4,4,4,TO SPREAD THE GOSPEL OF JESUS CHRIST PRIMARILY AMONG RUSSIAN SPEAKING PEOPLE THOUGHOUT THE WORLD THROUGH THE USE OF VARIOUS MEDIA OUTLETS AND MINISTRIES.,t,f,f,f,,1992,CO,
201641109349300339,2014,BAL SWAN CHILDREN'S CENTER,,840535171,13,13,89,350,THE SCHOOL PROVIDES EARLY CHILDHOOD INTERVENTION SERVICES.,t,f,f,f,,1963,CO,
201221009349300227,2011,Colorado Grand Inc,,841115630,11,11,0,0,The organization runs a car rally every year to raise funds to contribute to charitable organizations.,t,f,f,f,,1990,CO,
201301729349300410,2012,EDUCAUSE,,841455437,13,12,94,350,ADVANCE HIGHER EDUCATION BY PROMOTING THE USE OF INFORMATION TECHNOLOGY,t,f,f,f,,1998,CO,
201643199349311259,2015,Mount Carmel Health Wellness and,Community Center,273546373,6,5,36,50,"Mount Carmel provides integrated healthcare, wellness & community spirit in Las Animas County, CO.",t,f,f,f,,2011,CO,
201330149349301263,2011,NORTHERN COLORADO UNISERV UNIT,,840616190,7,5,3,,TO ADVOCATE FOR PUBLIC EDUCATION AND EDUCATIONAL EMPLOYEES,t,f,f,f,,1986,CO,
201321349349305767,2011,THE PARK PEOPLE,,846045624,20,20,2,400,"A PRIVATE, NON-PROFIT ORGANIZATION PRESERVING, ENHANCING, AND ADVOCATING FOR DENVER'S PARKS, RECREATION RESOURCES, OPEN SPACE, AND URBAN FORESTS.",t,f,f,f,,1969,CO,
201501639349300230,2014,RETIRED ENLISTED ASSN CHAPTER 39,,840999784,250,250,9,,MILITARY VETERAN'S BENEVOLENT/SOCIAL CLUB.,t,f,f,f,,1991,CO,
201112299349301006,2010,Gunnison Valley Masonic Temple Associati,,841230407,0,0,0,0,"A faternal organization that maintains facilities, provides scholarships for higher education and other charitable activities",t,f,f,f,,1993,CO,
201511359349309656,2014,The Bridge Trust,,742266006,3,0,0,,Residence for developmentally disabled women providing a community based intermediate care facility.,f,t,f,f,,1982,CO,
201313039349300236,2012,Rotary Intl East Colorado Springs Rotary Club,,846037829,10,10,0,18,"A Rotary club for the advancement of international understanding, goodwill and peace through a fellowship of business and professional persons united in the ideal of service to others.",t,f,f,f,,1959,CO,
201612739349300961,2014,STRONGHOLD SOCIETY,,273621140,7,5,0,25,"TO INSPIRE CONFIDENCE, CREATIVITY, HOPE, AND AMBITION FOR THE YOUTH OF NATIVE AND NON-NATIVE COMMUNITIES",f,f,t,f,,2009,CO,
201710199349300881,2015,THE JEWISH FOUNDATION FOR THE RIGHTEOUS,INC,133807016,13,13,9,13,"SUPPORT NON-JEWS, RIGHTEOUS GENTILES, WHO RISKED THEIR LIVES TO SAVE JEWS DURING THE HOLOCAUST.",t,f,f,f,,1994,NY,
201531219349300928,2014,BOULDER PRIDE,,841467134,11,11,4,227,"OUT BOULDER EDUCATES, ADVOCATES AND PROVIDES SERVICES, PROGRAMS AND SUPPORT TO BOULDER COUNTY'S LGBTQ COMMUNITIES.",t,f,f,f,,1998,CO,
201700329349300035,2015,Mission Possible,,841560732,5,4,35,0,To help reduce the population of juveniles in jail through case management of children and their families.,t,f,f,f,,2000,CO,
201301269349300720,2012,Beaver Park Water,,840721934,5,0,6,,Mutual not for profit ditch irrigation company,t,f,f,f,,1976,CO,
201522059349300222,2014,PLANT SELECT,,260199189,6,6,1,50,TO SEEK OUT AND DISTRIBUTE THE BEST PLANTS FOR WESTERN GARDENS AND LANDSCAPES,t,f,f,f,,2006,CO,
201542549349301114,2014,EDUCATIONAL FOUNDATION OF THE COLORADO,SOCIETY OF CPAS,846031758,11,10,0,20,AWARDS SCHOLARSHIPS TO ACCOUNTING STUDENTS ATTENDING COLORADO COLLEGES AND UNIVERSITIES.,t,f,f,f,,1958,CO,
201723359349300632,2016,BOULDER CHORALE,,841175937,13,13,7,285,To enrich and inspire a broad community through music.,t,f,f,f,,1966,CO,
201341299349301384,2012,Richmond Senior Housing Inc,,841332647,9,9,0,,"Apartment building for seniors, HUD subsidized.",t,f,f,f,,1997,CO,
201523159349302352,2014,SOUTHWEST HEALTH SYSTEM INC,,841337350,9,9,458,25,"OUR MISSION IS TO PROVIDE THE HIGHEST quality health care to our community by bringing excellence and service together to promote, improve and restore health.",t,f,f,f,,1996,CO,
201612089349300921,2015,United States Field Hockey Association Inc,,236299893,12,12,44,75,TO DEVELOP THE SPORT OF FIELD HOCKEY FROM THE GRASS ROOTS TO THE THE GRASS ROOTS TO THE OLYMPIC PODIUM.,t,f,f,f,,1966,CO,
201523169349304857,2014,CLINICA CAMPESINA FAMILY HEALTH SERVICES,,840743432,11,11,548,15,"PROVIDE HIGH-QUALITY, CULTURALLY APPROPRIATE CARE TO LOW-INCOME AND OTHER UNDESERVED PEOPLE.",t,f,f,f,,1977,CO,
201531339349302928,2013,NONPROFIT MANAGEMENT SERVICES OF COLORADO,,462921607,12,12,62,12,TO PROVIDE A FOUNDATION OF SUPPORT SERVICES TO NONPROFIT AGENCIES,t,f,f,f,,2013,CO,
201710479349301046,2015,EL PASO FOUNTAIN VALLEY SENIOR CENTER PR,,840762185,16,16,10,115,"Our mission is to provide quality and comprehensive services and activities to older adults which enhance dignity, provide support, enable them to live indepently and encourage involvement in the community, approximately 800 members benifit from services.",t,f,f,f,,1978,CO,
201530289349300118,2013,Summit Huts Association,,841072451,4,4,2,100,"Summit Huts Association manages four backcountry huts in Summit County, Colorado. All are open for winter use from November through May. Two of the huts are also open for summer use from July to September. One of the huts is operated by the forest service as a historic interpretive site open to day-visitors in the summer. The organization is working with the US Forest Service to develop additional units.",t,f,f,f,,1987,CO,
201731169349300418,2016,EQUINE PARTNERSHIP PROGRAM,,205197530,4,4,0,4,WE ASSIST OUR CLIENTS ON THEIR PERSONAL JOURNEY TOWARD HEALING WITH THE HANDS-ON EQUINE ASSISTED THERAPY.,t,f,f,f,,2011,CO,
201720269349300607,2015,BOULDER CHORALE,,841175937,15,14,9,285,To enrich and inspire a broad community through music.,t,f,f,f,,1966,CO,
201103149349300335,2010,THE BUDDY PROGRAM INC,,742594693,18,18,28,250,THE BUDDY PROGRAM STRENGTHENS THE COMMUNITY BY GUIDING AND INSPIRING YOUTH THROUGH MENTORING.,t,f,f,f,,1989,CO,
201522829349301207,2014,METRO INFANTA FOUNDATION INC,,841353940,6,6,0,10,FINANCIAL ASSISTANCE TO VARIOUSRELIGIOUS AND EDUCATIONAL INSTITUTIONS,t,f,f,f,,1996,CO,
201301069349300305,2012,Joint Development Associates International,,841286934,8,7,4,7,Catalyst to individuals & communities to raise capacity to sustain & promote development.,f,f,f,f,,,,
201742219349301704,2016,MENDING FACES,,272151804,13,13,1,13,"PROVIDE FREE SURGICAL CORRECTION FOR IMPOVERISHED CHILDREN IN DEVELOPING WORLD COUNTRIES INFLICTED WITH CLEFT LIP AND CLEFT PALATES, WHO OTHERWISE WOULD NOT HAVE A CHANCE FOR SURGERY.",t,f,f,f,,2010,CO,
201632289349300423,2015,American Principles Project Foundation,,264442148,6,4,0,0,Our mission is to educate the public about America's founding principles.,t,f,f,f,,2009,DC,
201712369349300021,2016,HARVEST OF HOPE PANTRY,,274010250,10,10,5,150,HARVEST OF HOPE PANTRY'S MISSION IS TO LIVE THE CATHOLIC FAITH BY PROVIDING HEALTHY SUPPLEMENTAL FOOD TO BOULDER FAMILIES AND INDIVIDUALS IN NEED OF ASSISTANCE WITHIN A SAFE WELCOMING AND NON-JUDGMENTAL ENVIRONMENT,t,f,f,f,,2011,CO,
201600269349300240,2014,Colorado Springs School Foundation Inc,,742246808,11,11,0,,Fundraising support for independent private school,t,f,f,f,,1980,CO,
201703189349307265,2016,Fellowship of Christian Cowboys Inc,,840832138,5,5,3,5,"Evangelize and disciple cowboys the ""Western"" Way",t,f,f,f,,1973,CO,
201543219349300709,2014,HARDROCK HUNDRED ENDURANCE RUN,,471608016,9,0,0,100,"THE ORGANIZATION CONDUCTS AND FACILITATES THE HARDROCK HUNDRED MILE ENDURANCE RUN EVENT, PRE AND POST RUN CELEBRATIONS AND ACTIVITIES BASED IN AND AROUND SILVERTON, COLORADO, LOCATED IN THE RUGGED AND EXTREME MOUNTAINS AND HIGH ALTITUDE SAN JUAN MOUNTAIN RANGE.",t,f,f,f,,2014,CO,
201420179349300107,2012,NORTHGLENN HIGH SCHOOL BAND BOOSTERS,,742392780,8,8,0,50,TO SUPPORT AND PROMOTE THE GROWTH AND DEVELOPMENT OF NORTHGLENN HIGH SCHOOL BAND PROGRAMS AND THE INVOLVED STUDENTS,t,f,f,f,,1985,CO,
201202239349300210,2010,Planned Parenthood of Rocky,Mountains Action Fund Inc,841191279,10,10,0,0,PLANNED PARENTHOOD OF THE ROCKY MOUNTAINS ACTION FUND DBA PLANNED PARENTHOOD VOTES COLORADO'S MISSION IS TO FOSTER AND PRESERVE A SOCIAL AND POLITICAL CLIMATE FAVORABLE TO THE EXERCISE OF REPRODUCTIVE CHOICE,t,f,f,f,,1990,CO,
201441219349301319,2013,EASTERN SLOPE HOUSING,,841249409,7,2,28,,PROVIDE HOUSING AND ASSISTED LIVING TO THE ELDERY,t,f,f,f,,2003,CO,
201532019349301063,2014,THE GROUNDWATER FOUNDATION,,363413351,11,11,9,20,"TO EDUCATE PEOPLE AND INSPIRE ACTION TO ENSURE SUSTAINABLE, CLEAN GROUNDWATER FOR FUTURE GENERATIONS.",t,f,f,f,,1985,NE,
201401329349303530,2012,ETHIOPIA READS,,943283038,15,15,2,50,Ethiopia Books for Children and Educational Foundation's mission is to build a reading culture in Ethiopia by connecting children with books. We do this by building libraries for children and by training both teachers and librarians in Ethiopia.,f,f,f,f,,,,
201731359349305858,2016,INDEPENDENT AUTOMOBILE DEALERS,ASSOCIATION OF COLORADO,840361109,18,18,6,0,ADVOCATE FOR INDEPENDENT AUTOMOBILE DEALERS IN COLORADO,t,f,f,f,,1941,CO,
201300379349301160,2011,EAST ANGEL FRIENDS & ALUMNI FOUNDATION,,320069773,17,17,0,113,"THE PURPOSE OF THE EAFAF IS TO SUPPORT EAST HIGH SCHOOL IN ACHIEVING ITS MISSION, TO WORK IN PARTNERSHIP WITH THE SCHOOL TO FOSTER COMMUNITY, TO PROMOTE STUDENT ACHIEVEMENT, TO FOSTER ALUMNI RELATIONS, TO EXPAND THE SUPPORT BASE, TO PRESERVE AND PROMOTE THE HISTORY OF THE SCHOOL AND ITS ALUMNI, TO ASSIST IN PRESERVING AND IMPROVING THE BUILDINGS AND GROUNDS OF THE SCHOOL AND TO RAISE FUNDS FOR THE BENEFIT OF THE SCHOOL COMMUNITY.",t,f,f,f,,2002,CO,
201630639349300608,2014,MUSEUM OF CONTEMPORARY ART DENVER,,841366092,22,22,49,60,"THE MUSEUM OF CONTEMPORARY ART DENVER IS AN INNOVATIVE FORUM FOR CONTEMPORARY ART THAT INSPIRES AND CHALLENGES ALL AUDIENCES, CREATING UNDERSTANDING AND DIALOG ABOUT THE ART OF OUR TIME.",t,f,f,f,,1996,CO,
201142709349300109,2010,FRATERNAL ORDER OF EAGLES AERIE 595,,840203704,5,585,12,0,"UNITING ITS MEMBERS IN THE BONDING OF FRATERNITY, BENEVOLENCE, AND CHARITY.",t,f,f,f,,1903,CO,
201400879349300030,2012,COLORADO SYMPHONY ASSOCIATION,,840511458,44,34,385,600,PERFORMANCE OF SYMPHONIC CONCERTS.,t,f,f,f,,1989,CO,
201542109349301264,2014,SHADHIKA PROJECT INC,,770344785,8,8,0,10,PROVIDE FUNDING AND SUPPORT TO INDIGENOUS INDIAN NON-PROFITS WORKING TO EMPOWER GIRLS SO THAT THEY CAN REALIZE A BETTER FUTURE.,t,f,f,f,,2002,CO,
201331269349301343,2012,ONE THIRTEEN CREDIT UNION,,840685552,7,7,4,15,STATE CHARTERED CREDIT UNION,t,f,f,f,,1958,CO,
201610829349300646,2015,Art from Ashes Inc,,200273372,11,0,9,68,"Art from Ashes exists to empower struggling youth by providing creative programs that facilitate health and hope through expression, connections and transformation.",t,f,f,f,,1996,CO,
201501359349309060,2013,CHILDREN'S OUTREACH PROJECT,,840824956,7,7,25,150,THE ORGANIZATION PROVIDES EARLY CHILDHOOD EDUCATION TO 2 1/2 - 6 YEAR OLD STUDENTS IN NORTH METRO DENVER.,t,f,f,f,,1980,CO,
201321779349300742,2012,INVEST IN KIDS,,841455282,9,9,24,50,"INVEST IN KIDS (THE ""ORGANIZATION),A COLORADO NONPROFIT COPORATION, WAS ESTABLISHED IN 1998. THE ORGANIZATION'S MISSION IS TO IMPROVE THE HEALTH AND WELL-BEING OF VULNERABLE YOUNG CHILDREN AND FAMILIES THROUGHOUT COLORADO. WORKING IN PARTNERSHIP WITH LOCAL COMMUNITIES, THE ORGANIZATION IDENTIFIES, INTRODUCES, IMPLEMENTS, AND ENSURES THE SUCCESS OF RESEARCH-BASED, PROVEN PROGRAMS.",t,f,f,f,,1998,CO,
201533209349311603,2014,NEW DANCE THEATRE INC,,840632111,14,13,14,200,DEDICATED TO CROSS-CULTURAL DANCE ARTS EXPERIENCES ROOTED IN THE AFRICAN-AMERICAN TRADITION FOR AUDIENCES AND STUDENTS WORLDWIDE.,t,f,f,f,,1970,CO,
201540479349301759,2013,YOUNG PHILANTHROPISTS FOUNDATION,,200599817,16,16,4,180,THE YOUNG PHILANTHROPISTS FOUNDATION IS DEDICATED TO GIVING KIDS THE POWER TO CHANGE OUR WORLD THROUGH PHILANTHROPY AND VOLUNTEERING.,t,f,f,f,,2003,CO,
201302539349300410,2012,PLAN DE SALUD DEL VALLE INC,,840613540,10,10,621,5,COMMUNITY HEALTH SERVICES,t,f,f,f,,1971,CO,
201541689349300019,2013,Colorado Springs Fine Arts Center,,840406947,22,22,122,200,Elevating the individual spirit and inspiring community vitality through the performing and visual arts and arts education.,t,f,f,f,,1919,CO,
201103149349302320,2010,CLEAN ENERGY ECONOMY FOR THE REGION,,200563392,10,10,6,50,"ACCELERATE THE TRANSITION TO A CLEAN ENERGY ECONOMY INCREASE ENERGY INDEPENDENCE, AND REDUCE OUR CONTRIBUTION TO CLIMATE CHANGE.",t,f,f,f,,2004,CO,
201501059349300135,2014,EZRA INTERNATIONAL INC,,911746258,7,6,3,150,TO BUILD A NETWORK OF WORLDWIDE CONNECTIONS TO FULFILL A CALL TO DO THE WORK OF THE LORD.,t,f,f,f,,1996,FL,
201621109349300227,2014,PARKVIEW HEALTH SYSTEM INC,,840935138,10,8,213,8,"TO OPERATE EXCLUSIVELY FOR THE BENEFIT OF PARKVIEW MEDICAL CENTER, INC. AND TO SUPPORT OTHER NON-PROFIT HEALTH CARE PROVIDERS ORGANIZED FOR CHARITABLE PURPOSE.",t,f,f,f,,1984,CO,
201541349349303859,2014,GARFIELD COUNTY ANIMAL WELFARE FOUNDATION INC,,841500637,5,5,17,40,ANIMAL HUMANE SOCIETY,t,f,f,f,,1999,CO,
201703229349300305,2016,HABITAT FOR HUMANITY INTERNATIONAL INC,HABITAT FOR HUMANITY OF GUNNISON VALLEY,841342438,9,9,1,0,"BUILDING HOMES AT LOW COST FOR PURCHASE BY QUALIFIED, LOW-INCOME BUYERS",t,f,f,f,,1996,CO,
201641369349300444,2015,INTERNATIONAL ADOPTION NET,,841608994,6,3,12,2,Facilitate International Adoptions from China and Ukraine and other countries,t,f,f,f,,2002,CO,
201200889349300240,2011,Joint Development Associates International,,841286934,8,7,7,7,Catalyst to individuals & communities to raise capacity to sustain & promote development.,f,f,f,f,,,,
201602159349301800,2015,PARTNERING FOR AFRICA'S FUTURE INC,C/O TOBIN RUPAREL KONCZAK & MUNDELL PC,203028400,2,2,0,0,IMPROVE EDUCATION IN UGANDA,t,f,f,f,,2005,CO,
201701569349300020,2016,ZEN CENTER OF DENVER,,841106761,8,8,1,24,THE PURPOSE OF THE ZEN CENTER OF DENVER IS TO FOSTER THE TEACHING OF ZEN TO PROVIDE GREATER HARMONY AND PEACE IN ONES OWN LIFE AND THAT OF OTHERS.,t,f,f,f,,1981,CO,
201232779349300018,2011,COLORADO PROCUREMENT TECHNICAL ASSISTANCE CENTER,,270460368,11,11,9,0,"THE PURPOSE OF THE COLORADO PTAC IS TO GENERATE EMPLOYMENT AND IMPROVE THE GENERAL ECONOMIC CONDITION OF THE STATE BY ASSISTING COLORADO COMPANIES INCLUDING THOSE ELIGIBLE FOR PREFERENTIAL CONSIDERATION IN OBTAINING AND PERFORMING UNDER LOCAL, STATE AND FEDERAL GOVERNMENT CONTRACTS.",t,f,f,f,,2009,CO,
201532269349303568,2014,AXIS,,260334744,10,6,30,15,To challenge students to understand their world and move from apathy to action.,t,f,f,f,,2007,CO,
201502299349300865,2014,SHELTER MINISTRIES INC,,841571405,6,4,1,,PROVIDING REST AND RENEWAL FOR MISSIONARY FAMILIES,t,f,f,f,,2000,CO,
201622519349300122,2015,TELLURIDE FOUNDATION,,841530768,31,30,6,7,"TO IMPROVE THE QUALITY OF LIFE FOR THE PEOPLE THAT LIVE, WORK AND VISIT THE TELLURIDE REGION.",t,f,f,f,,2000,CO,
201712619349301006,2016,EL CENTRO AMISTAD,,470864016,8,7,0,,PROVIDES INFO AND TRAINING TO IMMIGRANTS PROMOTES HEALTH EDUCATION WITHIN THE IMMIGRANT COMMUNITY SPONSORS LEADERSHIP WOMENS CONFERENCE AND CULTURAL CELEBRATIONS,t,f,f,f,,,CO,
201322279349301687,2012,TRINIDAD AREA HEALTH ASSOCIATION,,840586742,8,8,260,34,HOSPITAL HEALTH CARE,t,f,f,f,,1969,CO,
201412479349300746,2013,FORT LUPTON DEVELOPMENT CORP,,237183742,4,4,0,4,PROMOTE ECONOMIC DEVELOPMENT,t,f,f,f,,1975,CO,
201512529349300126,2014,STONE GATE RESOURCES,,841523653,4,3,3,,RESTORATION AND GROWTH RETREATS,t,f,f,f,,1999,WI,
201111229349300906,2010,PITKIN COUNTY AIR RESCUE,,840753678,3,3,0,0,AIR RESCUE,t,f,f,f,,1978,CO,
